Code,Behavior
blank,Not breeding
F,Flying over only
H,In suitable habitat
S,Singing male
S7,Singing male present 7+ days
M,Multiple (7+) singing males
P,Pair in suitable habitat
T,Territorial defense
C,"Courtship, display, or copulation"
N,Visiting probable nest site
A,Agitated behavior
B,Wren/ woodpecker nest building
PE,Physiological evidence
CN,Carrying nesting material
NB,Nest building
DD,Distraction display
UN,Used nest
ON,Occupied nest
FL,Recently fledged young
CF,Carrying food
FY,Feeding young
FS,Carrying fecal sac
NE,Nest with eggs
NY,Nest with young
