"   ",PRESENT_CONDITION_CODE,PRESENT_CONDITION_BIRD,PRESENT_CONDITION_BAND
1,00,UNKNOWN,UNKNOWN
2,01,UNKNOWN,LEFT ON BIRD
3,02,UNKNOWN,REMOVED
4,03,DEAD,UNKNOWN
5,04,DEAD,LEFT ON BIRD
6,05,DEAD,REMOVED
7,06,ALIVE - RELEASED,UNKNOWN
8,07,ALIVE - RELEASED,LEFT ON BIRD
9,08,ALIVE - RELEASED,REMOVED
10,09,ALIVE - IN CAPTIVITY,UNKNOWN
11,10,ALIVE - IN CAPTIVITY,LEFT ON BIRD
12,11,ALIVE - IN CAPTIVITY,REMOVED
13,12,ALIVE - UNKNOWN,UNKNOWN
14,13,ALIVE - UNKNOWN,LEFT ON BIRD
15,14,ALIVE - UNKNOWN,REMOVED
