   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
208,1690,Lesser Snow Goose,LSGO,1,10,Anser caerulescens caerulescens,7B,"7B, 7",,,Y
209,1691,Blue Goose,BLGO,1,11,Anser caerulescens,7B,"7B, 7",,,Y
210,1695,Snow X Blue Goose Intergrade,SBGI,1,12,,7B,7B,,,Y
211,1698,Blue Greater Snow Goose,BGSG,1,13,,7B,7B,,,Y
212,1699,Greater Snow Goose,GSGO,1,14,Anser caerulescens atlantica,7B,7B,,,Y
213,1700,Ross's Goose,ROGO,1,16,Anser rossii,7B,7B,,,Y
214,1703,Snow X Ross's Goose Hybrid,SRGH,1,15,,7B,7B,,,Y
215,1710,Greater White-fronted Goose,GWFG,1,6,Anser albifrons,"7B, 8","7B, 8",,,Y
216,1716,Other Hybrid Goose,OHGO,1,27,,"8, 7B","8, 7B",,,
217,1719,Tule White-fronted Goose,TWFG,1,8,Anser albifrons elgasi,8,8,,,Y
218,1720,Canada Goose,CAGO,1,25,Branta canadensis,8,"8, 8A",,,Y
219,1721,Aleutian Canada Goose,ACGO,1,21,Branta hutchinsii leucopareia,"7B, 7","7B, 7, 7A",,,Y
220,1722,Cackling Goose,CACG,1,22,Branta hutchinsii,"7A, 7, 7B","7A, 7, 7B",,,Y
221,1723,Large Canada Goose,LCGO,1,23,Branta canadensis maxima,8,"8, 8A",,,Y
222,1729,Small Canada Goose,SCGO,1,24,Branta canadensis parvipes,"7B, 7","7B, 7, 7D",,,Y
223,1730,Atlantic Brant,ATBR,1,17,Branta bernicla hrota,"7B, 7","7B, 7, 7A",,,Y
224,1731,Black X Atlantic Brant Intergrade,BABI,1,18,,"7A, 7, 7B","7A, 7, 7B",,,Y
225,1740,Black Brant,BLBR,1,19,Branta bernicla nigricans,"7A, 7, 7B","7A, 7, 7B",,,Y
226,1750,Barnacle Goose,BRNG,1,20,Branta leucopsis,7B,7B,,,
227,1751,Hawaiian Goose,HAGO,1,26,Branta sandvicensis,"8, 7B","8, 7B, 8A",Y,,
228,1760,Emperor Goose,EMGO,1,9,Anser canagicus,7B,"7B, 7",,,Y
229,1770,Black-bellied Whistling-Duck,BBWD,1,1,Dendrocygna autumnalis,"7A, 7","7A, 7, 7B",,,Y
230,1771,West Indian Whistling-Duck,WIWD,1,2,Dendrocygna arborea,7B,7B,,,Y
231,1780,Fulvous Whistling-Duck,FUWD,1,3,Dendrocygna bicolor,"7A, 7","7A, 7, 6",,,Y
232,1782,Mute Swan,MUSW,1,28,Cygnus olor,9C,"9C, 9, 9A",,,
233,1790,Whooper Swan,WHOS,1,32,Cygnus cygnus,9,9,,,
234,1800,Whistling Swan,WHSW,1,30,Cygnus columbianus columbianus,9,"9, 9C",,,Y
235,1801,Bewick's Swan,BESW,1,31,Cygnus columbianus bewickii,9,9,,,
236,1810,Trumpeter Swan,TRUS,1,29,Cygnus buccinator,"9C, 9","9C, 9",,,Y
160,1290,Common Merganser,COME,2,81,Mergus merganser,"7A, 7","7A, 7, 7V",,,Y
161,1300,Red-breasted Merganser,RBME,2,82,Mergus serrator,"6, 7A","6, 7A",,,Y
162,1310,Hooded Merganser,HOME,2,80,Lophodytes cucullatus,"5, 5A, 6","5, 5A, 6",,,Y
163,1320,Mallard,MALL,2,45,Anas platyrhynchos,"7A, 7","7A, 7, 6, 7B",,,Y
164,1321,Hawaiian Duck,HAWD,2,48,Anas wyvilliana,"6, 7A","6, 7A, 5",Y,,
165,1322,Laysan Duck,LADU,2,49,Anas laysanensis,"5, 5A, 6","5, 5A, 6",Y,,
166,1323,Mallard X Hawaiian Duck Hybrid,MHDH,2,50,,"7A, 6","7A, 6",,,Y
167,1325,Mallard X American Black Duck Intermediate,MBDX,2,42,,7A,"7A, 7",,,Y
168,1326,Mallard X American Black Duck Hybrid,MBDH,2,43,,7A,"7A, 7",,,Y
169,1327,Mallard Dominant X American Black Duck Hybrid,MALX,2,44,,7A,"7A, 7",,,Y
170,1330,American Black Duck,ABDU,2,40,Anas rubripes,7A,"7A, 7",,,Y
