GLOBAL_UNIQUE_IDENTIFIER,COUNT,SEX,AGE
URN:CornellLabOfOrnithology:EBIRD:OBS150823033,7,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS150823033,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS707166136,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504205448,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS97803396,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS262704727,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS429672416,18,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS429672416,4, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS1021224335,49,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS1021224335,21, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS52552179,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS378572774,50,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS378572774,20, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS328587045,2,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS101735158,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS279674234,6,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS279674234,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435056275,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435056275,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS355322229,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS646309596,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS646309596,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS302618356,8,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS302618356,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS114790583,15,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS114790583,15, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312769,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312769,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504681834,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504681834,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101657675,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS832237626,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS567781335,10,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS567781335,20, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS337460513,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS476741943,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS476741943,1, Male,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS830257252,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102805868,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102805868,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS306606070,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS306606070,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS302169522,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS271550809,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS116033006,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS53215450,10,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS100599604,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS301191701,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS301191701,12, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS551479405,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS551479405,7, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415104904,5,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS415104904,3, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,6,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415141842,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415141842,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154078191,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154059394,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS154059394,6, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS162424034,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS530664474,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS530664474,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS156652075,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS175948774,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS175948774,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS34485697,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667011698,16,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667011698,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS887499719,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS292783851,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS105572347,10,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS105572347,4, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698951051,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698951051,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS225276074,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312690,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312690,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS170136311,12,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS170136311,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS619921411,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS619921411,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS829834282,7,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS829834282,6, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS105997091,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS512447694,2,Unknown Sex and Age (2),
URN:CornellLabOfOrnithology:EBIRD:OBS702650224,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,6, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS698949987,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698949987,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667046462,16,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667046462,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS552804332,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS552804332,7, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS282354965,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS282354965,11, Unknown Sex,Adult 
